cell,init,arm,n_pos,R,cell_median_R,pooled_descriptive_median_R
libero_goal_t0_vs_t9,0,RAND,64,0.036111636397568245,0.02241355853292452,0.011327657846378257
libero_goal_t0_vs_t9,0,LOC,128,0.01716708807939032,0.035465641605295695,0.043358237285080065
libero_goal_t0_vs_t9,0,RAND,128,0.09607331578391831,0.09607331578391831,0.07885590549799881
libero_goal_t0_vs_t9,0,LOC,256,-0.05219562167130239,0.14700371066439397,0.08185923987198931
libero_goal_t0_vs_t9,0,RAND,256,0.18330234985466798,0.18330234985466798,0.18020413913340322
libero_goal_t0_vs_t9,0,LOC,512,0.5179505992126856,0.5179505992126856,0.7732458939775065
libero_goal_t0_vs_t9,0,RAND,512,0.5179505992126856,0.5179505992126856,0.7732458939775065
libero_goal_t0_vs_t9,1,LOC,4,0.0009124324720091474,0.0008492580811683577,0.0016333555509041912
libero_goal_t0_vs_t9,1,RAND,4,-4.050093041504622e-05,0.00011805618426776387,0.00011898447711440095
libero_goal_t0_vs_t9,1,LOC,8,0.002347941925965771,0.005625863881040745,0.004266180166097809
libero_goal_t0_vs_t9,1,RAND,8,0.0035635162866098752,0.0011616931006417641,0.0011299765445429199
libero_goal_t0_vs_t9,1,LOC,16,0.0021791255112390676,0.00552601815725251,0.005613640435539619
libero_goal_t0_vs_t9,1,RAND,16,1.2949386418540436e-05,1.2949386418540436e-05,0.0007504291551753025
libero_goal_t0_vs_t9,1,LOC,32,0.0016475887788137107,0.0052161587927503006,0.010097458406011315
libero_goal_t0_vs_t9,1,RAND,32,0.016560086603443016,0.016560086603443016,0.008974087541989327
libero_goal_t0_vs_t9,1,LOC,64,0.004461042686507349,0.008318140529050045,0.018408005189508227
libero_goal_t0_vs_t9,1,RAND,64,0.02241355853292452,0.02241355853292452,0.011327657846378257
libero_goal_t0_vs_t9,1,LOC,128,0.04332216248337655,0.035465641605295695,0.043358237285080065
libero_goal_t0_vs_t9,1,RAND,128,0.20529136221669145,0.09607331578391831,0.07885590549799881
libero_goal_t0_vs_t9,1,LOC,256,0.14700371066439397,0.14700371066439397,0.08185923987198931
libero_goal_t0_vs_t9,1,RAND,256,0.13795099305022973,0.18330234985466798,0.18020413913340322
libero_goal_t0_vs_t9,1,LOC,512,0.5484086637968866,0.5179505992126856,0.7732458939775065
libero_goal_t0_vs_t9,1,RAND,512,0.5484086637968866,0.5179505992126856,0.7732458939775065
libero_goal_t0_vs_t9,2,LOC,4,0.0008492580811683577,0.0008492580811683577,0.0016333555509041912
libero_goal_t0_vs_t9,2,RAND,4,0.00011805618426776387,0.00011805618426776387,0.00011898447711440095
libero_goal_t0_vs_t9,2,LOC,8,0.006041406560546784,0.005625863881040745,0.004266180166097809
libero_goal_t0_vs_t9,2,RAND,8,0.0011616931006417641,0.0011616931006417641,0.0011299765445429199
libero_goal_t0_vs_t9,2,LOC,16,0.006240414034381037,0.00552601815725251,0.005613640435539619
libero_goal_t0_vs_t9,2,RAND,16,0.004449326693343729,1.2949386418540436e-05,0.0007504291551753025
libero_goal_t0_vs_t9,2,LOC,32,0.008024559308392985,0.0052161587927503006,0.010097458406011315
libero_goal_t0_vs_t9,2,RAND,32,0.017766705272627865,0.016560086603443016,0.008974087541989327
libero_goal_t0_vs_t9,2,LOC,64,0.009587949362076414,0.008318140529050045,0.018408005189508227
libero_goal_t0_vs_t9,2,RAND,64,0.010535000868695738,0.02241355853292452,0.011327657846378257
